"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"demography","IBM",6,10,15,12.5,0.0824090289221503,0.455811651742029,0.605640236734091,2.04332063675469
"demography","IBM",6,15,20,17.5,0.0801727430923984,0.326771141547467,0.396959663581217,0.420063136064779
"demography","IBM",6,20,30,25,0.158118427098577,0.228583582745374,0.258356640643008,0.638969432752698
"demography","IBM",6,30,40,35,0.150512822405486,0.190253342953667,0.188175816711795,0
"demography","IBM",6,40,60,50,0.233090608466829,0.186408312716477,0.127433943592281,0.288965858485898
"demography","IBM",6,60,85,72.5,0.126166306516111,0.182090364326992,0.0950271976410672,0.266930330452436
"demography","IBM",7,0,1,0.5,0.0174585951070034,0.230864563692986,0.769389657437027,28.997097642099
"demography","IBM",7,1,2,1.5,0.0170569249952265,0.355297395754277,1.34944814276731,55.4025630461652
"demography","IBM",7,2,3,2.5,0.0172781024600907,0.397163651931928,1.35561382853473,54.6933533126405
"demography","IBM",7,3,5,4,0.0352172407464,0.437478503107368,1.21229346573231,19.1666951103923
"demography","IBM",7,5,7,6,0.033506351686039,0.494806356004702,1.06166141415033,10.0726889388077
"demography","IBM",7,7,10,8.5,0.0492808727263313,0.484840467948177,0.84921148668299,5.47878378505155
"demography","IBM",7,10,15,12.5,0.0792103816559553,0.454799404189352,0.616110701244852,1.27823796938766
"demography","IBM",7,15,20,17.5,0.0786373729813049,0.337859559222107,0.429613228745689,0
"demography","IBM",7,20,30,25,0.157630090861219,0.233240748616362,0.270632851247547,0.428216536784094
"demography","IBM",7,30,40,35,0.152765203754654,0.191885394145262,0.181822638869049,0.22092665719204
"demography","IBM",7,40,60,50,0.232521409229628,0.184060973092831,0.145873257185896,0.435442558763868
"demography","IBM",7,60,85,72.5,0.129437453796148,0.179521175900778,0.104557929943722,0
"demography","IBM",8,0,1,0.5,0.018462653138229,0.234005731977532,0.885430473513362,49.292005741981
"demography","IBM",8,1,2,1.5,0.0175968252484869,0.383553304820131,1.41743853480622,78.5337566581827
"demography","IBM",8,2,3,2.5,0.0174731751264343,0.417797649247421,1.35030864197531,32.7932098765432
"demography","IBM",8,3,5,4,0.0363810241111274,0.465936319701092,1.30725084270804,21.3088372659708
"demography","IBM",8,5,7,6,0.036510030250416,0.518948313583651,1.12353142033311,11.0783706195541
"demography","IBM",8,7,10,8.5,0.0483278975914729,0.52811556540681,0.915045668208048,4.88210341269538
"demography","IBM",8,10,15,12.5,0.0829195502201415,0.467137229920785,0.653229479770717,1.2194700929136
"demography","IBM",8,15,20,17.5,0.0837485324051048,0.335760628420964,0.417357659211298,0.402466402325263
"demography","IBM",8,20,30,25,0.153229465999541,0.233264007453687,0.271663634287202,0
"demography","IBM",8,30,40,35,0.153761004537655,0.196586447768831,0.185670984205459,0
"demography","IBM",8,40,60,50,0.228313070658242,0.187305881072922,0.128143265481281,0.147630490185808
"demography","IBM",8,60,85,72.5,0.12327677071315,0.185418706370318,0.112374406067012,0.273417046391756
"demography","IBM",9,0,1,0.5,0.0182690257644969,0.226358159080553,0.861171586248797,48.0482000911346
