"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"nets","IBM",2,32,0.521007984031936,1.62653807781842
"nets","IBM",2,39,0.524764327397875,1.72066927826838
"nets","IBM",2,46,0.5273934974779,1.76831696310061
"nets","IBM",2,53,0.521760830505091,1.38312724371759
"nets","IBM",2,60,0.52073273931007,1.45660126371799
"nets","IBM",2,67,0.521230524167455,1.40992340992341
"nets","IBM",2,74,0.52287549161149,1.38607594936709
"nets","IBM",2,81,0.525174129353234,1.80042660978536
"nets","IBM",2,88,0.526635165381746,1.6810172206648
"nets","IBM",2,95,0.525103044147589,1.65687583444593
"nets","IBM",2,102,0.524002972504335,1.46341463414634
"nets","IBM",2,109,0.527836993703832,1.71120487576184
"nets","IBM",2,116,0.529312484487466,1.58897595606456
"nets","IBM",2,123,0.530211330489136,1.34280936454849
"nets","IBM",2,130,0.525198412698413,1.36740701097137
"nets","IBM",2,137,0.524954064657099,1.09829488465396
"nets","IBM",2,144,0.530233020320962,1.51401619053991
"nets","IBM",2,151,0.533253802564867,1.22122591006424
"nets","IBM",2,158,0.528653223798855,1.36841400548972
"nets","IBM",2,165,0.52722191726134,1.56484458735263
"nets","IBM",2,172,0.526969712090215,1.8076562709142
"nets","IBM",2,179,0.524455979237373,1.49509803921569
"nets","IBM",2,186,0.522186687987208,1.46773004490316
"nets","IBM",2,193,0.522687478112962,1.66298157453936
"nets","IBM",2,200,0.524643482611959,1.22360040227958
"nets","IBM",2,207,0.525901803607214,1.73553442271631
"nets","IBM",2,214,0.529016401665246,2.00334672021419
"nets","IBM",2,221,0.532224845531723,1.640174379611
"nets","IBM",2,228,0.531846332007452,1.44598133351239
"nets","IBM",2,235,0.530834340991536,1.54432505036938
"nets","IBM",2,242,0.531660873507632,1.61634460547504
"nets","IBM",2,249,0.53757225433526,1.59153417857382
"nets","IBM",2,256,0.537385286595457,1.4948972740701
"nets","IBM",2,263,0.536971214017522,1.76672268907563
"nets","IBM",2,270,0.534598437812938,1.54942389326865
"nets","IBM",2,277,0.534034034034034,1.45173250640421
"nets","IBM",2,284,0.533893641502827,1.43001891380708
"nets","IBM",2,291,0.540552718534094,1.97497463645587
"nets","IBM",2,298,0.54396348497768,1.58040727961572
"nets","IBM",2,305,0.543018051993765,1.45310391363023
"nets","IBM",2,312,0.543728336765962,1.62473865245835
"nets","IBM",2,319,0.541189471569218,1.47863074741746
"nets","IBM",2,326,0.53973676278509,1.5306053432533
"nets","IBM",2,333,0.536150329096116,1.45457615670382
"nets","IBM",2,340,0.531850810702274,1.0354609929078
"nets","IBM",2,347,0.530288582183187,1.84816365109371
"nets","IBM",2,354,0.530308347956881,1.65269987159559
"nets","IBM",2,361,0.53363453815261,1.52915737549834
"nets","IBM",2,365,0.534082923401265,1.725768321513
"irs","IBM",2,4,0.568176254589963,2.24831103457412
"irs","IBM",2,11,0.571142382488029,2.31991525423729
"irs","IBM",2,18,0.575377252527226,2.24622816304923
"irs","IBM",2,25,0.577757155416626,2.10242319915254
"irs","IBM",2,32,0.582450314956785,2.47047113470471
