"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"demography","IBM",9,0.482356183221471,1.21882824756621,30.337977537429,0.384933684870945,3.26666964992662,13.5530120472229
"eir_20","IBM",10,0.536095955011739,1.44437374015769,35.6696371474018,0.657152873556559,8.32476439914321,19.6313606238177
"demography","IBM",10,0.489238569200389,1.27734396833513,33.6242570783279,0.388133616901273,3.60000263013891,13.7600935159078
"eir_1","IBM",1,0.114521104426836,0.16686165093927,9.23530713453743,0.208040111383738,4.39568622439833,1.02037585324347
"eir_3","IBM",1,0.235166657215836,0.411355653275595,20.3384021879755,0.379125227009079,6.93031808467674,2.98485836092266
"eir_10","IBM",1,0.417860198393798,1.0044819727919,31.1394129658363,0.585204155621595,8.36293817434442,9.70493186001073
"eir_50","IBM",1,0.679009264363297,2.26722055674518,39.7044967880086,0.775221238938053,9.19049063123168,49.3849176637855
"eir_120","IBM",1,0.783219626656381,2.84638308170403,39.8608430666596,0.820115618009774,8.92487642231313,120.82329182883
"seasonal","IBM",1,0.494431200100785,1.48867623604466,41.1483253588517,0.686757785727382,9.59843262073162,18.6420516100309
"eir_1","IBM",2,0.110727808081785,0.147396156771353,10.5055576100532,0.201269440952394,5.53767846542355,0.969259657209146
"eir_3","IBM",2,0.235932644217483,0.41041797690167,18.8823479867308,0.37248420321948,6.41982339062629,2.964281425419
"eir_10","IBM",2,0.429273888746085,1.03664064568407,28.8212608895215,0.592365952405009,7.28828098156641,9.930393657877
"eir_50","IBM",2,0.693035992775355,2.32805079491666,41.4925422729868,0.787499138806087,9.55580766209966,49.414696418288
"eir_120","IBM",2,0.78528367712971,2.83999533607705,39.9369525488085,0.839271399223418,9.0536289020865,119.285849372575
"seasonal","IBM",2,0.494816227017836,1.55967126225093,46.3924879706367,0.726663665371153,11.2562349160807,18.7083432295263
"eir_1","IBM",3,0.106144174426292,0.14770231758428,8.06235357992796,0.196928604624378,3.96207593276669,0.962753761944935
"eir_3","IBM",3,0.249549606396159,0.458221087240333,20.158626511419,0.4001274996429,6.6050877685312,3.26210497760896
"eir_10","IBM",3,0.414823526703743,1.01908303471111,32.8932958005975,0.585574277139522,8.89471417184303,9.79958270574898
"eir_50","IBM",3,0.688009586975399,2.2451847542928,40.1939464041486,0.78502606128943,9.53133262392364,51.0565071307376
"eir_120","IBM",3,0.790682777954654,2.84950457990226,38.8366459470599,0.844574549592794,9.11326708897659,122.402320229594
"seasonal","IBM",3,0.486947839741024,1.50039034900254,41.3900785931735,0.700616220186889,10.0721135737046,18.83651410943
"eir_1","IBM",4,0.119268920836745,0.167631449423418,9.83312971478151,0.217583114053806,4.76214583779909,1.06145119225576
"eir_3","IBM",4,0.232028931335998,0.392700514372999,18.7525526526432,0.368447292536449,5.91020082814573,3.02793106850298
"eir_10","IBM",4,0.420535797999095,0.99708720876972,28.8413655429258,0.579909555622336,7.8851325331973,10.0895607951267
"eir_50","IBM",4,0.680382081711899,2.22846121038449,40.0433899066165,0.77547421893919,9.53025566570298,50.2451057279078
"eir_120","IBM",4,0.786115283458535,2.82046315793147,36.621120375084,0.813464967822687,8.25273763132551,121.866050065904
"seasonal","IBM",4,0.479054777775782,1.47377984933415,41.8115539897259,0.703184156007036,10.3108151069475,18.4803696275501
"eir_1","IBM",5,0.117623398515889,0.152444500420469,11.216123865133,0.208204376443823,4.7677828503504,0.981868990292358
"eir_3","IBM",5,0.239053980799719,0.416326851875733,15.7441343594332,0.390603958590667,5.13510961199279,3.00600268697433
"eir_10","IBM",5,0.434914857235364,1.04478624237413,36.5817096635675,0.59408416869764,8.95604274418553,9.98059243815227
