"doy","pfpr","model"
101,0.373776093362111,"ODE"
102,0.37185057685748,"ODE"
103,0.36993504247641,"ODE"
104,0.368029437946227,"ODE"
105,0.366133711258301,"ODE"
106,0.36424781068549,"ODE"
107,0.362371684865727,"ODE"
108,0.360505283120622,"ODE"
109,0.358648556433962,"ODE"
110,0.356801459944401,"ODE"
111,0.354963958351733,"ODE"
112,0.3531360361253,"ODE"
113,0.351317714616501,"ODE"
114,0.349509077966247,"ODE"
115,0.347710309072816,"ODE"
116,0.345921735993796,"ODE"
117,0.344143888179016,"ODE"
118,0.342377560974172,"ODE"
119,0.340623885897141,"ODE"
120,0.338884403226759,"ODE"
121,0.337161132467827,"ODE"
122,0.335456635394071,"ODE"
123,0.333774065851473,"ODE"
124,0.332117200573129,"ODE"
125,0.330490446070379,"ODE"
126,0.328898818217076,"ODE"
127,0.327347893252807,"ODE"
128,0.325843731286714,"ODE"
129,0.324392775633217,"ODE"
130,0.323001733141801,"ODE"
131,0.321677441887866,"ODE"
132,0.320426733089701,"ODE"
133,0.319256293948836,"ODE"
134,0.318172537403154,"ODE"
135,0.317181483707112,"ODE"
136,0.316288657489981,"ODE"
137,0.315499002648789,"ODE"
138,0.3148168162275,"ODE"
139,0.31424570139535,"ODE"
140,0.313788538803686,"ODE"
141,0.313447474980078,"ODE"
142,0.313223925997227,"ODE"
143,0.3131185944066,"ODE"
144,0.313131497321792,"ODE"
145,0.313262003543012,"ODE"
146,0.313508877703368,"ODE"
147,0.313870329565102,"ODE"
148,0.314344066779266,"ODE"
149,0.314927349629204,"ODE"
150,0.315617046493324,"ODE"
151,0.316409688975813,"ODE"
152,0.317301525856772,"ODE"
153,0.318288575199545,"ODE"
154,0.319366674118175,"ODE"
155,0.320531525848779,"ODE"
156,0.321778743883993,"ODE"
157,0.323103893019253,"ODE"
158,0.324502527225202,"ODE"
159,0.325970224304433,"ODE"
160,0.327502617316952,"ODE"
161,0.329095422771108,"ODE"
162,0.330744465580499,"ODE"
163,0.332445700786536,"ODE"
164,0.33419523204579,"ODE"
165,0.335989326884056,"ODE"
166,0.33782442872836,"ODE"
167,0.339697165745496,"ODE"
168,0.341604356541385,"ODE"
169,0.34354301280985,"ODE"
170,0.345510339060282,"ODE"
171,0.347503729599038,"ODE"
172,0.349520762987561,"ODE"
173,0.351559194246486,"ODE"
174,0.353616945118226,"ODE"
175,0.355692092736804,"ODE"
176,0.357782857081137,"ODE"
177,0.359887587604669,"ODE"
178,0.362004749439242,"ODE"
179,0.364132909563578,"ODE"
180,0.366270723307545,"ODE"
181,0.368416921532937,"ODE"
182,0.370570298791493,"ODE"
183,0.372729702713226,"ODE"
184,0.374894024825067,"ODE"
185,0.377062192943373,"ODE"
186,0.379233165226863,"ODE"
187,0.381405925920837,"ODE"
188,0.383579482771181,"ODE"
189,0.385752866039493,"ODE"
190,0.387925129009805,"ODE"
191,0.390095349843691,"ODE"
192,0.392262634614776,"ODE"
193,0.394426121335491,"ODE"
194,0.396584984778511,"ODE"
195,0.398738441891903,"ODE"
196,0.400885757609741,"ODE"
197,0.403026250868299,"ODE"
198,0.405159300650421,"ODE"
199,0.40728435189662,"ODE"
200,0.409400921139518,"ODE"
201,0.411508601737982,"ODE"
202,0.413607068607163,"ODE"
203,0.41569608236065,"ODE"
204,0.417775492799873,"ODE"
205,0.419845241703711,"ODE"
206,0.421905364887452,"ODE"
207,0.423955993514633,"ODE"
208,0.425997354657858,"ODE"
209,0.428029771115298,"ODE"
210,0.430053660498483,"ODE"
211,0.432069533614041,"ODE"
212,0.434077992167796,"ODE"
213,0.43607972582381,"ODE"
214,0.438075508654121,"ODE"
215,0.440066195017175,"ODE"
216,0.442052714904304,"ODE"
217,0.444036068794497,"ODE"
218,0.446017322058107,"ODE"
219,0.447997598950307,"ODE"
220,0.449978076235069,"ODE"
221,0.451959976480271,"ODE"
222,0.453944561064502,"ODE"
223,0.455933122935952,"ODE"
224,0.457926979163916,"ODE"
225,0.459927463323352,"ODE"
226,0.461935917753253,"ODE"
227,0.46395368572976,"ODE"
228,0.465982103595283,"ODE"
229,0.46802249288521,"ODE"
230,0.470076152494077,"ODE"
231,0.472144350923292,"ODE"
232,0.474228318652672,"ODE"
233,0.476329240677905,"ODE"
234,0.478448249255908,"ODE"
235,0.480586416899442,"ODE"
236,0.482744749661559,"ODE"
237,0.484924180749322,"ODE"
238,0.487125564504673,"ODE"
239,0.489349670788473,"ODE"
